NODE_NUMBER, occurences 
6058,33
1487,33
1119,33
9518,33
2284,33
4581,33
4914,33
8966,33
2316,33
4970,33
8643,33
3614,33
1542,33
6207,33
4397,33
8462,33
4748,33
9102,33
9937,33
798,33
9271,33
9243,33
6961,33
2491,33
4815,33
5073,33
2467,33
3285,33
6369,33
448,33
9993,33
9126,33
4634,33
8435,33
9245,33
962,33
8504,33
6680,33
2900,33
2627,33
2257,33
3933,33
1835,33
2402,33
4842,33
1440,33
901,33
8360,33
9871,33
2122,33
3162,33
4837,33
6413,33
4059,33
201,33
8357,33
5332,33
6428,33
7535,33
881,33
476,33
7513,33
3357,33
3218,33
5349,33
2528,33
6286,33
7777,33
8981,33
3703,33
5129,33
3029,33
9977,33
677,33
4509,33
1042,33
4865,33
3020,33
1512,33
5903,33
610,33
3812,33
3862,33
6638,33
423,33
8354,33
4207,33
6773,33
1248,33
2077,33
7607,33
5930,33
7733,33
9349,33
8084,33
4976,33
3890,33
5237,33
3280,33
8630,33
4856,33
6349,33
5408,33
504,33
6969,33
1568,33
5231,33
579,33
543,33
703,33
3462,33
4973,33
7564,33
5416,33
4309,33
5642,33
7741,33
1721,33
7627,33
9454,33
731,33
4595,33
3878,33
3365,33
4801,33
6422,33
1685,33
1589,33
7152,33
1718,33
7908,33
5284,33
5587,33
6606,33
2342,33
3151,33
9524,33
5071,33
5003,32
8226,32
2370,32
6684,32
7959,32
3452,32
2632,32
8994,32
5815,32
7620,32
1198,32
7553,32
3085,32
793,32
664,32
8124,32
3397,32
1771,32
7119,32
1102,32
6874,32
3632,32
33,32
9453,32
3356,32
105,32
1784,32
6693,32
3599,32
1915,32
4433,32
520,32
9267,32
384,32
6033,32
8006,32
9882,32
270,32
2315,32
651,32
189,32
6147,32
9318,32
5407,32
7972,32
2545,32
5706,32
7339,32
5683,32
8472,32
419,32
4265,32
9236,32
7547,32
5739,32
3772,32
8919,32
2145,32
7509,32
6221,32
4760,32
3849,32
8438,32
7761,32
5093,32
4539,32
868,32
8592,32
328,32
8088,32
8963,32
2782,32
4542,32
5396,32
1195,32
2259,32
6543,32
807,32
882,32
9147,32
964,32
3838,32
6695,32
5127,32
6677,32
778,32
4653,32
9859,32
9344,32
7728,32
7866,32
6882,32
5015,32
1139,32
6844,32
2641,32
4640,32
5556,32
185,32
3968,32
957,32
9664,32
4255,32
8772,32
3308,32
9709,32
8192,32
3112,32
3128,32
2862,32
7338,32
6824,32
6993,32
8223,32
667,32
6498,32
3555,32
5650,32
2600,32
6990,32
2686,32
8344,32
1347,32
8993,32
7359,32
9948,32
7991,32
3919,32
4105,32
318,32
7860,32
7511,32
836,32
5006,32
4195,32
4886,32
6337,32
1723,32
1522,32
866,32
3010,32
4693,32
2336,32
688,32
723,32
7968,32
8402,32
2500,32
2760,32
1104,32
4305,32
7727,32
1348,32
772,32
2757,32
9597,32
5782,32
4025,32
2708,32
7341,32
6010,32
6930,32
747,32
718,32
5067,32
1414,32
5382,32
8823,32
9042,32
3840,32
7283,32
7615,32
2393,32
5891,32
830,32
7446,32
5519,32
2064,32
2027,32
1160,32
9185,32
6487,32
4030,32
6031,32
3981,32
8489,32
5233,31
9043,31
4321,31
9984,31
5190,31
2986,31
1488,31
1412,31
1530,31
1091,31
6625,31
5806,31
6972,31
9782,31
2010,31
4854,31
4201,31
3564,31
8056,31
6257,31
3687,31
456,31
4398,31
1038,31
659,31
1379,31
787,31
953,31
5922,31
4106,31
1958,31
1627,31
540,31
6628,31
2268,31
3491,31
3490,31
3078,31
9579,31
5971,31
662,31
6722,31
6782,31
6718,31
5823,31
4405,31
293,31
6036,31
9121,31
7842,31
9537,31
8356,31
6783,31
7458,31
2915,31
1617,31
6618,31
591,31
9283,31
5850,31
2564,31
4135,31
8233,31
8311,31
6862,31
4514,31
4426,31
2093,31
4054,31
6965,31
2653,31
4361,31
6943,31
779,31
1657,31
227,31
5552,31
840,31
8625,31
7015,31
3797,31
4239,31
2853,31
1276,31
7354,31
952,31
1503,31
2833,31
5146,31
1138,31
711,31
8049,31
4487,31
8637,31
801,31
2227,31
2358,31
9908,31
5838,31
2278,31
1217,31
9134,31
6738,31
2840,31
1425,31
3861,31
3411,31
7663,31
3724,31
4675,31
3892,31
3764,31
9780,31
4847,31
1698,31
9335,31
1477,31
3948,31
625,31
5221,31
7806,31
3375,31
9946,31
5287,31
3538,31
6365,31
1850,31
8201,31
7037,31
7431,31
8833,31
5925,31
8974,31
9135,31
7290,31
4757,31
940,31
7843,31
3577,31
8587,31
2514,31
6665,31
9306,31
3204,31
8140,31
7094,31
8611,31
4605,31
5722,31
1807,31
9015,31
4840,31
8250,31
4324,31
5117,31
7994,31
5092,31
8505,31
2796,31
7443,31
3655,31
4464,31
8708,31
4367,31
7503,31
9130,31
8654,31
4513,31
4998,31
7590,31
8487,30
925,30
3985,30
5483,30
5010,30
1574,30
9266,30
4789,30
3545,30
3419,30
4291,30
5860,30
9789,30
7261,30
6236,30
6763,30
7379,30
4631,30
4868,30
398,30
19,30
8622,30
1166,30
9252,30
8607,30
3636,30
2907,30
5435,30
1932,30
1943,30
751,30
7854,30
1774,30
475,30
1509,30
2309,30
5453,30
60,30
4386,30
3520,30
5151,30
9086,30
2579,30
5387,30
73,30
3923,30
4771,30
83,30
3467,30
4814,30
452,30
1756,30
1142,30
936,30
902,30
4404,30
1968,30
2459,30
1010,30
298,30
1946,30
3056,30
483,30
214,30
9650,30
7522,30
5716,30
2037,30
4167,30
7367,30
7548,30
2444,30
7213,30
1719,30
5143,30
8941,30
7493,30
9890,30
3830,30
8782,30
1600,30
5428,30
1039,30
9139,30
1434,30
8723,30
2240,30
186,30
8821,30
2466,30
5090,30
5362,30
208,30
1123,30
320,30
2594,30
9261,30
7828,30
219,30
5085,30
1608,30
5145,30
1635,30
1579,30
8128,30
581,30
3493,30
4198,30
2864,30
9900,30
5427,30
7748,30
1890,30
8706,30
1972,30
8647,30
4834,30
6778,30
8940,30
1899,30
1884,30
307,30
3860,30
7085,30
7793,30
5567,30
7299,30
6512,30
330,30
6613,30
9035,30
8677,30
7390,30
955,30
4763,30
381,30
847,30
6231,30
5072,30
8392,30
2556,30
6947,30
2887,30
6451,30
5959,30
2657,30
3168,30
9574,30
9391,30
8493,30
2081,30
5787,30
8106,30
3963,30
6085,30
4412,30
2436,30
482,30
9952,30
7640,30
1286,30
6630,30
6040,30
6513,30
4442,30
5091,30
3233,30
9399,30
1584,30
585,30
4372,30
6501,30
7361,30
5036,30
1549,30
730,30
4136,30
3738,30
5610,30
4154,30
1651,30
8614,30
1427,30
2967,30
1193,30
2232,30
4810,30
2731,30
1112,30
5099,30
3124,30
4625,30
1103,30
9760,30
1249,30
5924,30
2589,30
2269,30
4575,30
7090,30
6770,30
4073,30
9143,30
8660,30
8760,29
3270,29
8459,29
649,29
5322,29
3696,29
8748,29
67,29
7912,29
1744,29
9115,29
9027,29
7821,29
9129,29
8027,29
8297,29
5309,29
7124,29
668,29
3936,29
4738,29
1168,29
3960,29
3567,29
2489,29
7406,29
5948,29
45,29
4799,29
2244,29
49,29
9618,29
3071,29
3515,29
8040,29
4794,29
4692,29
8266,29
4862,29
2481,29
1250,29
8675,29
312,29
3469,29
9509,29
4722,29
5807,29
758,29
5213,29
5115,29
1184,29
8023,29
7578,29
273,29
1974,29
2623,29
95,29
1047,29
8957,29
9695,29
1842,29
7747,29
4901,29
8824,29
5393,29
113,29
7353,29
1725,29
7120,29
6747,29
918,29
6479,29
5630,29
3909,29
7103,29
580,29
3180,29
9435,29
4020,29
1366,29
3104,29
6403,29
6609,29
173,29
6376,29
2388,29
5946,29
6664,29
8166,29
3414,29
1320,29
9255,29
2392,29
1410,29
620,29
2979,29
5056,29
7058,29
9165,29
2496,29
9068,29
2140,29
1596,29
8764,29
5676,29
7297,29
3485,29
7986,29
6740,29
9031,29
5574,29
1359,29
838,29
2918,29
8667,29
4508,29
7043,29
6859,29
7432,29
7121,29
4429,29
6777,29
1386,29
4452,29
1811,29
821,29
3254,29
1292,29
8026,29
7661,29
766,29
782,29
1110,29
4061,29
4314,29
1263,29
6796,29
6035,29
9409,29
5488,29
3334,29
1860,29
2427,29
5549,29
8370,29
5186,29
7772,29
7645,29
2265,29
1203,29
1043,29
4585,29
8845,29
7115,29
1206,29
2472,29
8777,29
6748,29
2270,29
3367,29
1799,29
6019,29
5692,29
8539,29
1188,29
6688,29
5459,29
2834,29
1115,29
6974,29
7913,29
9362,29
5778,29
6336,29
6789,29
934,29
9671,29
4498,29
8838,29
7526,29
7065,29
2949,29
3183,29
9502,29
9718,29
8159,29
4657,29
7331,29
5799,29
1081,29
7937,29
3938,29
8187,29
7562,29
9700,29
5585,29
6180,29
9864,29
6043,29
8403,29
1396,29
5659,29
9988,29
1759,29
1849,29
7987,29
5066,29
4235,29
5313,29
1314,29
9555,29
7366,29
5958,29
3949,29
7633,29
4168,28
1227,28
6741,28
8874,28
3773,28
4165,28
4690,28
6457,28
2975,28
5103,28
5655,28
1753,28
3694,28
4784,28
1877,28
8409,28
29,28
1296,28
5478,28
6914,28
3123,28
5473,28
2602,28
7451,28
9522,28
7557,28
3726,28
861,28
8131,28
325,28
6458,28
5914,28
1693,28
5869,28
7026,28
9237,28
7445,28
3759,28
6861,28
389,28
4359,28
783,28
1870,28
4368,28
7658,28
6610,28
926,28
5017,28
8820,28
5335,28
9741,28
9653,28
3692,28
2826,28
4904,28
3426,28
9480,28
7340,28
2166,28
9953,28
137,28
406,28
4380,28
9059,28
2249,28
4216,28
3659,28
5074,28
2075,28
4925,28
804,28
8789,28
199,28
4004,28
6784,28
2510,28
1652,28
5165,28
3376,28
324,28
1816,28
9588,28
7330,28
9910,28
1607,28
1245,28
5762,28
7609,28
9544,28
8222,28
7162,28
6907,28
1424,28
5106,28
1220,28
8929,28
5601,28
8208,28
9735,28
3050,28
4189,28
8065,28
8635,28
7788,28
9624,28
9466,28
1769,28
2643,28
9476,28
7360,28
361,28
9907,28
6945,28
9378,28
3596,28
528,28
8476,28
6899,28
797,28
5243,28
9299,28
7630,28
385,28
2783,28
5303,28
2560,28
1795,28
6640,28
2040,28
5571,28
5355,28
505,28
1176,28
2954,28
4383,28
981,28
403,28
7467,28
9181,28
2463,28
578,28
8347,28
7249,28
8769,28
4172,28
2855,28
3621,28
9962,28
8405,28
576,28
5624,28
986,28
1474,28
4765,28
6373,28
9067,28
490,28
9746,28
4247,28
2421,28
3964,28
2962,28
7285,28
2651,28
8420,28
558,28
8633,28
3755,28
9526,28
8702,28
4639,28
5290,28
5257,28
7006,28
7145,28
5514,28
2434,28
8619,28
9449,28
4475,28
4499,28
5842,28
5687,28
2019,28
3371,28
8135,28
2456,28
5613,28
9081,28
9104,28
5027,28
6651,28
2004,28
4918,28
5747,28
2837,28
8970,28
7176,28
9128,28
7127,28
7469,28
4242,28
1329,28
4330,28
7831,28
2443,28
3689,28
5097,28
4352,28
3224,28
2328,28
2322,28
6587,28
9893,28
7629,28
7823,28
4243,28
5397,28
336,27
5,27
441,27
1683,27
825,27
3594,27
1961,27
28,27
261,27
31,27
7012,27
6248,27
7802,27
216,27
57,27
605,27
4808,27
9829,27
7736,27
6999,27
8925,27
61,27
8114,27
5888,27
7874,27
6245,27
7598,27
9175,27
3507,27
339,27
748,27
1537,27
85,27
9611,27
2603,27
9161,27
1724,27
4728,27
5819,27
6178,27
8804,27
7365,27
5415,27
7550,27
491,27
5491,27
542,27
146,27
7056,27
6173,27
1856,27
321,27
4896,27
9920,27
3445,27
5021,27
2371,27
8168,27
5968,27
9866,27
7781,27
4510,27
9091,27
7168,27
3164,27
4527,27
2848,27
6531,27
7764,27
3054,27
6233,27
4654,27
8323,27
6816,27
7356,27
2630,27
4828,27
6662,27
1354,27
643,27
7805,27
4988,27
3468,27
9208,27
4877,27
9345,27
7998,27
7505,27
242,27
6181,27
8934,27
4938,27
9944,27
9458,27
7317,27
444,27
3719,27
4956,27
7064,27
4567,27
515,27
4627,27
8004,27
8338,27
9754,27
287,27
1862,27
5041,27
9263,27
8850,27
7404,27
4875,27
2212,27
2584,27
3991,27
3988,27
8649,27
9290,27
9075,27
3019,27
1666,27
8258,27
5790,27
348,27
2787,27
353,27
1629,27
9423,27
590,27
6566,27
1552,27
6138,27
6970,27
8289,27
3553,27
7038,27
7948,27
7352,27
3769,27
1846,27
8251,27
6951,27
7231,27
7321,27
7104,27
4489,27
487,27
1591,27
7644,27
3512,27
3319,27
8419,27
2107,27
2541,27
9883,27
1841,27
4292,27
8244,27
6149,27
8240,27
2965,27
2423,27
3699,27
8548,27
7456,27
8259,27
2852,27
1777,27
2179,27
3096,27
5871,27
6791,27
7099,27
1070,27
2919,27
4126,27
6095,27
3580,27
4573,27
9793,27
1004,27
1325,27
5960,27
9931,27
5700,27
1896,27
8274,27
1796,27
7206,27
1241,27
3215,27
7102,27
8142,27
5522,27
5880,27
6201,27
9105,27
2867,27
6510,27
9020,27
0,26
7555,26
3868,26
5202,26
8121,26
5801,26
1256,26
7950,26
2360,26
383,26
5471,26
8616,26
6529,26
7093,26
294,26
3842,26
5301,26
8410,26
1098,26
4588,26
1097,26
1055,26
2193,26
5345,26
9692,26
8916,26
3690,26
460,26
3077,26
4049,26
1787,26
2144,26
2149,26
9903,26
5384,26
6939,26
1699,26
7757,26
729,26
7004,26
1680,26
6235,26
5961,26
5398,26
5873,26
5996,26
9862,26
6834,26
3799,26
65,26
6704,26
6725,26
4485,26
4102,26
7255,26
6136,26
237,26
5412,26
81,26
7778,26
9776,26
149,26
84,26
9026,26
442,26
4043,26
9836,26
7592,26
5680,26
91,26
1480,26
3473,26
5777,26
8209,26
3686,26
5200,26
9505,26
4458,26
2610,26
6500,26
8600,26
9559,26
8152,26
8822,26
3037,26
3518,26
8830,26
5818,26
7841,26
3262,26
4428,26
7014,26
5452,26
1978,26
161,26
8141,26
1889,26
8095,26
9141,26
3044,26
2484,26
4133,26
5997,26
6700,26
9286,26
182,26
9805,26
8016,26
7656,26
7457,26
190,26
5105,26
9384,26
6911,26
1358,26
197,26
959,26
652,26
3915,26
6637,26
5920,26
2709,26
1975,26
2960,26
4709,26
1456,26
9675,26
212,26
7187,26
1900,26
7785,26
4591,26
2087,26
5865,26
8521,26
1137,26
721,26
1797,26
5337,26
2453,26
1490,26
4254,26
5425,26
2758,26
4688,26
7530,26
1287,26
3640,26
1506,26
3405,26
2154,26
9870,26
2326,26
7223,26
1069,26
5269,26
7429,26
7704,26
3552,26
2947,26
9744,26
8594,26
7444,26
4356,26
5084,26
1611,26
5250,26
5316,26
1727,26
1684,26
4149,26
8863,26
7902,26
8406,26
1468,26
9535,26
4550,26
9879,26
7566,26
8967,26
9030,26
9341,26
9959,26
7726,26
7708,26
3292,26
8554,26
9464,26
4056,26
4362,26
9242,26
8099,26
1945,26
8014,26
5941,26
6772,26
7252,26
9973,26
2493,26
5082,26
2088,26
587,26
8678,26
1172,26
4941,26
1559,26
4554,26
4006,26
8801,26
